Period,LeftHipAngle
828,165.195095612353
829,163.732146230195
830,162.38617383077
831,161.146240103758
832,160.023781498678
833,159.016143434694
834,158.119398354001
835,157.332765990331
836,156.665662103296
837,156.098965714367
838,155.643790878948
839,155.275263669311
840,155.006433609339
841,154.809961576292
842,154.675991717676
843,154.597102437203
844,154.548296358826
845,154.516662269395
846,154.4940305821
847,154.471963812099
848,154.429454853634
849,154.371385047435
850,154.295015682965
851,154.205132787569
852,154.099990434161
853,153.98743892072
854,153.874534199211
855,153.754255893436
856,153.635319985257
857,153.512505605121
858,153.371728716941
859,153.225982568774
860,153.068038312474
861,152.899828568527
862,152.732385094089
863,152.57622068258
864,152.440481285535
865,152.329060082482
866,152.24806363921
867,152.202670311153
868,152.197419882476
869,152.240699978125
870,152.333564522107
871,152.483560208022
872,152.694910368583
873,152.959425879609
874,153.272318599449
875,153.627563597217
876,154.014036361586
877,154.417208782938
878,154.826474115273
879,155.231097976927
880,155.61992967668
881,155.988798241578
882,156.332203195906
883,156.646054830155
884,156.929744006992
885,157.180122158219
886,157.396175297039
887,157.577170535247
888,157.722529835041
889,157.831542718036
890,157.907097218084
891,157.951606803627
892,157.968029150643
893,157.959849941619
894,157.936635326904
895,157.901571512053
896,157.855070479601
897,157.805730002181
898,157.745450382435
899,157.670204427948
900,157.576898224758
901,157.460350733408
902,157.329241861452
903,157.193585654981
904,157.067756470255
905,156.963388190205
906,156.894020195013
907,156.857211481977
908,156.856493156359
909,156.880557631188
910,156.93356932406
911,157.011939521101
912,157.123000184611
913,157.28278951127
914,157.503660834449
915,157.807581885141
916,158.207103326498
917,158.714958712162
918,159.356024730278
919,160.139734973597
920,161.068958058058
921,162.155015627284
922,163.395930785777
923,164.784610649895
924,166.290720206592
925,167.905262397658
926,169.596224237091
927,171.317473959715
928,173.040955749606
929,174.754035191358
930,176.431277719142
931,178.072444021164
932,179.680611011008
933,178.703691689507
934,177.095605161372
935,175.465042606704
936,173.819029710329
937,172.150498100502
938,170.480345228573
939,168.821522565489
940,167.185005472621
941,165.593231154976
942,164.066805520445
943,162.614218002641
944,161.25222748277
945,159.996327691246
946,158.849105295792
947,157.818577110293
948,156.909570310808
949,156.123648094264
950,155.460452452772
951,154.918241775097
952,154.490256094028
953,154.170467299538
954,153.949417284026
955,153.815306533334
956,153.754797726298
957,153.754428801569
958,153.799882382275
959,153.875195362453
960,153.969936930372
961,154.07200336074
962,154.175626415504
963,154.276587846655
964,154.37196197116
965,154.461590312771
966,154.545969489359
967,154.62358303448
968,154.693520285048
969,154.749364686991
970,154.784191243875
971,154.790315492792
972,154.763240500988
973,154.703678905725
974,154.620139045264
975,154.524034291517
976,154.431260796314
977,154.357817669341
978,154.312238563553
979,154.303967308246
980,154.338909067127
981,154.41994264545
982,154.548202758379
983,154.726274919786
984,154.95233818594
985,155.225184345806
986,155.539913674752
987,155.890917528292
988,156.268322465927
989,156.662785912259
990,157.064541882644
991,157.462628037498
992,157.846865996555
993,158.209732890728
994,158.54288772648
995,158.840765943049
996,159.099275879991
997,159.31448275171
998,159.484744416809
999,159.609232600675
1000,159.687575338161
1001,159.721890789876
1002,159.714820950195
1003,159.672349210374
1004,159.599338772075
1005,159.503635694878
1006,159.393005842429
1007,159.273675475452
1008,159.153191873856
1009,159.034423843741
1010,158.919483152056
1011,158.806265524034
1012,158.691753419092
1013,158.570331534316
1014,158.438656106662
1015,158.295403594481
1016,158.142735197417
1017,157.989297881275
1018,157.84298387686
1019,157.713316979684
1020,157.608252033176
1021,157.531030766133
1022,157.482963314345
1023,157.464720326322
1024,157.476918113065
1025,157.523965784182
1026,157.614890229216
1027,157.765442404302
1028,157.993251320417
1029,158.318955167429
1030,158.761963841951
1031,159.339923718812
1032,160.067072078979
1033,160.952387617529
1034,161.99748543197
1035,163.199116471688
1036,164.545695056798
1037,166.0207321745
1038,167.601511040025
1039,169.261209528782
1040,170.968475477099
1041,172.69045904644
1042,174.395191415119
1043,176.048551028474
1044,177.594876665069
1045,178.769741841016
1046,178.456019136259
1047,177.159022899948
1048,175.712585247488
1049,174.239474490937
1050,172.761641063834
1051,171.290986235813
1052,169.837906781377
1053,168.410890414778
1054,167.023755766723
1055,165.684331540161
1056,164.404754129486
1057,163.192037484652
1058,162.053052058998
1059,160.994446275145
1060,160.017900586252
1061,159.127817882729
1062,158.326837564637
1063,157.616427430953
1064,156.997885327867
1065,156.470677787358
1066,156.030002993169
1067,155.672558682567
1068,155.387594843134
1069,155.168800016054
1070,155.003902171166
1071,154.883285973059
1072,154.794474163374
1073,154.725746210996
1074,154.666747327076
1075,154.607272096331
1076,154.542250196204
1077,154.466485511697
1078,154.382831751898
1079,154.293089135248
1080,154.203748861548
1081,154.119959324698
1082,154.043557385264
1083,153.973803034199
1084,153.904803688425
1085,153.831053142442
1086,153.741896771334
1087,153.631761533847
1088,153.498923061549
1089,153.347461189362
1090,153.188937508704
1091,153.037510228116
1092,152.906852662519
1093,152.810300999227
1094,152.752481201963
1095,152.739462647199
1096,152.773401708155
1097,152.855822515164
1098,152.987803020681
1099,153.170133896356
1100,153.401961745815
1101,153.680111878438
1102,153.999500648817
1103,154.352589089897
1104,154.728613720483
1105,155.118719435589
1106,155.510602142563
1107,155.895819600504
1108,156.266364930883
1109,156.616800927966
1110,156.943064074708
1111,157.241995801581
1112,157.510984228352
1113,157.748124293143
1114,157.952530468363
1115,158.121915334102
1116,158.256284052518
1117,158.35659948097
1118,158.424176789051
1119,158.460808438288
1120,158.472246466376
1121,158.461778319512
1122,158.435333296528
1123,158.398373715759
1124,158.350516723748
1125,158.291516882708
1126,158.217825772105
1127,158.122895529603
1128,158.005262006914
1129,157.866131489899
1130,157.716030000848
1131,157.566154102411
1132,157.430939203371
1133,157.322675695103
1134,157.246220979294
1135,157.207285561319
1136,157.203769756647
1137,157.231988885297
1138,157.294726484363
1139,157.396195705025
1140,157.55570726834
1141,157.782707757561
1142,158.08898857985
1143,158.501508373241
1144,159.026665035812
1145,159.694124606366
1146,160.507098590508
1147,161.466874829526
1148,162.583503881723
1149,163.841130554343
1150,165.221527690236
1151,166.708716204091
1152,168.271904767371
1153,169.880273338084
1154,171.506445076844
1155,173.117700141094
1156,174.705454736807
1157,176.246073214588
1158,177.751762020388
1159,179.203171798896
1160,179.227044350556
1161,177.791636767638
1162,176.318666639833
1163,174.829651660204
1164,173.337182382883
1165,171.842978719696
1166,170.356495336597
1167,168.898534288974
1168,167.478643295091
1169,166.096855522868
1170,164.777484954836
1171,163.516577235073
1172,162.328802503407
1173,161.209667229678
1174,160.16183042464
1175,159.194030091963
1176,158.299744511943
1177,157.486431603345
1178,156.753184777762
1179,156.437684326609
1180,156.824755819102
1181,157.232589924824
1182,157.597367117241
1183,157.921715829584
1184,158.208150221146
1185,158.458233693997
1186,158.673302752216
1187,158.852940873688
1188,158.996308335097
1189,159.103777260063
1190,159.175140802727
1191,159.213348596882
1192,159.21910110448
1193,159.198440227607
1194,159.154318691918
1195,159.091065736313
1196,159.014194938732
1197,158.926074864536
1198,158.829099715782
1199,158.722688003394
1200,158.600400488065
1201,158.463993446486
1202,158.311340040665
1203,158.147441241729
1204,157.981729363063
1205,157.818181651691
1206,157.673808534445
1207,157.551954602312
1208,157.455368288768
1209,157.39003830468
1210,157.351381501314
1211,157.343485907674
1212,157.375477194518
1213,157.449180215856
1214,157.585456493741
1215,157.78920672791
1216,158.090724676775
1217,158.499765438207
1218,159.034853013393
1219,159.705520227288
1220,160.521460261473
1221,161.478614053746
1222,162.595410716193
1223,163.8479674366
1224,165.224398187806
1225,166.71242550276
1226,168.280264832607
1227,169.909466209112
1228,171.568834428899
1229,173.219026355618
1230,174.840478657456
1231,176.406318999752
1232,177.858279926326
1233,178.841273390377
1234,178.28831442514
1235,176.961937011747
1236,175.49291147424
1237,173.990080049837
1238,172.470524535184
1239,170.946452838195
1240,169.436439937153
1241,167.948554778142
1242,166.502553893085
1243,165.100795447875
1244,163.761837533368
1245,162.485936801199
1246,161.279915228917
1247,160.158163099183
1248,159.10907610562
1249,158.155732608677
1250,157.288535727659
1251,156.524535930756
1252,155.853062507761
1253,155.279577103271
1254,154.812554323092
1255,154.436920219135
1256,154.15094679829
1257,153.936541528915
1258,153.79197169281
1259,153.704298776361
1260,153.656234123239
1261,153.627898737977
1262,153.604313615982
1263,153.573785362378
1264,153.509831825255
1265,153.421702005624
1266,153.297288682327
1267,153.146049333542
1268,152.985438177135
1269,152.817187723959
1270,152.656947526382
1271,152.508833370664
1272,152.379393107612
1273,152.257895223566
1274,152.161974506427
1275,152.073938427355
1276,151.999469549158
1277,151.938125953643
1278,151.891767212157
1279,151.858351967388
1280,151.848010603594
1281,151.849662369342
1282,151.869521040649
1283,151.916243463827
1284,151.986299026067
1285,152.09460354965
1286,152.246575691753
1287,152.451679307057
1288,152.704287517623
1289,153.00716960234
1290,153.350105443231
1291,153.724934825147
1292,154.121377078225
1293,154.528774362916
1294,154.935968139327
1295,155.337609677385
1296,155.725610533252
1297,156.096462880188
1298,156.445985969589
1299,156.771186479608
1300,157.069924171447
1301,157.337249948536
1302,157.571406319071
1303,157.767827237659
1304,157.924230577509
1305,158.041200099968
1306,158.123201117222
1307,158.171314182057
1308,158.187115345411
1309,158.182480957873
1310,158.163170633762
1311,158.131102797014
1312,158.088970533506
1313,158.02638730895
1314,157.951700399741
1315,157.855144031468
1316,157.739023558369
1317,157.610303976486
1318,157.484779178924
1319,157.370172102866
1320,157.285936687103
1321,157.235522426524
1322,157.22329991178
1323,157.251934121063
1324,157.314955188074
1325,157.422307475046
1326,157.574909237326
1327,157.787271051649
1328,158.075540357591
1329,158.453982642329
1330,158.940172050727
1331,159.553230129515
1332,160.295532476158
1333,161.183453172855
1334,162.20737943162
1335,163.369872141452
1336,164.659113691752
1337,166.056916167212
1338,167.54669221548
1339,169.10787447149
1340,170.719092020734
1341,172.342421616346
1342,173.958063151684
1343,175.534207260029
1344,177.002696274174
1345,178.152249682356
1346,178.22139597148
1347,177.138345744288
1348,175.691421899804
1349,174.131400215587
1350,172.536384769661
1351,170.925254154837
1352,169.317121611206
1353,167.732325823265
1354,166.188072668988
1355,164.699080210106
1356,163.280687041779
1357,161.944483262647
1358,160.700685076978
1359,159.554949208653
1360,158.514302640662
1361,157.582386268458
1362,156.760354475543
1363,156.04931857241
1364,155.444279370262
1365,154.942323957526
1366,154.534904495961
1367,154.21323507275
1368,153.966092425784
1369,153.784204614972
1370,153.655021413214
1371,153.568403164096
1372,153.51079482675
1373,153.470565586275
1374,153.435232808792
1375,153.396355191306
1376,153.343612706826
1377,153.273625017734
1378,153.182904601382
1379,153.070142579256
1380,152.935692273016
1381,152.779601170052
1382,152.601356721925
1383,152.399901855224
1384,152.17467330729
1385,151.930055928809
1386,151.670969424186
1387,151.409806821195
1388,151.161986199185
1389,150.946486319729
1390,150.778970961859
1391,150.672686974842
1392,150.636811738013
1393,150.673848666787
1394,150.783443927133
1395,150.963084922399
1396,151.208048314997
1397,151.512516248436
1398,151.868418328914
1399,152.269854365231
1400,152.706655643244
1401,153.170317135187
1402,153.650363462226
1403,154.139236995587
1404,154.628997944311
1405,155.110343878468
1406,155.578166394023
1407,156.026129413103
1408,156.450960300966
1409,156.848092380075
1410,157.214370773277
1411,157.547507478419
1412,157.844615635465
1413,158.104301209797
1414,158.323702461027
1415,158.503347690412
1416,158.64298980731
1417,158.743583170037
1418,158.808704703041
1419,158.840210066393
1420,158.843368380937
1421,158.824645477824
1422,158.789456244536
1423,158.743541954949
1424,158.690839866145
1425,158.633701920974
1426,158.573164767089
1427,158.505157757906
1428,158.427566205275
1429,158.338439101194
1430,158.23707577879
1431,158.12852081921
1432,158.017885811699
1433,157.914969056474
1434,157.828128461965
1435,157.764134921541
1436,157.729291020679
1437,157.725693126723
1438,157.758977813915
1439,157.835690560215
1440,157.965218068237
1441,158.162613437703
1442,158.444490437275
1443,158.826498107287
1444,159.324621948552
1445,159.950092524357
1446,160.710553957672
1447,161.610163656331
1448,162.648432131771
1449,163.821070835019
1450,165.119474237958
1451,166.530067131796
1452,168.035096514682
1453,169.610301650437
1454,171.228341757797
1455,172.859975290795
1456,174.473010105631
1457,176.028759833137
1458,177.432137849639
1459,178.307466121976
1460,177.886354947767
1461,176.631626634674
1462,175.152675015817
1463,173.605874073489
1464,172.036124032617
1465,170.465205690257
1466,168.911264161222
1467,167.387671779321
1468,165.908364787371
1469,164.484179561622
1470,163.124955136515
1471,161.839702346317
1472,160.634193221216
1473,159.51621262497
1474,158.488846020673
1475,157.556901099205
1476,156.723020426075
1477,155.986534135891
1478,155.347619304784
1479,154.80240714027
1480,154.345509921927
1481,153.970565148814
1482,153.670470593943
1483,153.437755124621
1484,153.263807284321
1485,153.142101822178
1486,153.06080126855
1487,153.007355088646
1488,152.971388481681
1489,152.941606753639
1490,152.910100160008
1491,152.871599238123
1492,152.826466395647
1493,152.772940200502
1494,152.715184557047
1495,152.649992353616
1496,152.578306638549
1497,152.497128295342
1498,152.402481339054
1499,152.290970502421
1500,152.163110095749
1501,152.017713488504
1502,151.863385582112
1503,151.70811350418
1504,151.562720048883
1505,151.437501566839
1506,151.340483009236
1507,151.280974722728
1508,151.266109793217
1509,151.303636491078
1510,151.402761899987
1511,151.567294227404
1512,151.799525523655
1513,152.096689966213
1514,152.45145151753
1515,152.854504021204
1516,153.292188217922
1517,153.751783120907
1518,154.220586539775
1519,154.686462314341
1520,155.141485616202
1521,155.577808893084
1522,155.98965813534
1523,156.375964652658
1524,156.731999352273
1525,157.059269803118
1526,157.354368245185
1527,157.618268143913
1528,157.850470824085
1529,158.049886218298
1530,158.21843666142
1531,158.359085991395
1532,158.472113208059
1533,158.560846384313
1534,158.629999031009
1535,158.679102640151
1536,158.71640330786
1537,158.734240108183
1538,158.732541262291
1539,158.709503447529
1540,158.653662300199
1541,158.561588916383
1542,158.436125474867
1543,158.277107247974
1544,158.097951985277
1545,157.910447364282
1546,157.728482284142
1547,157.559623116578
1548,157.418149671969
1549,157.298404061019
1550,157.21975638094
1551,157.174002460418
1552,157.179361716326
1553,157.250657450922
1554,157.400461671616
1555,157.652487240499
1556,158.021603547051
1557,158.530424754001
1558,159.186372161478
1559,159.99655396027
1560,160.963576555684
1561,162.072008910931
1562,163.32220568565
1563,164.689190504103
1564,166.155517495789
1565,167.704209850161
1566,169.297362685654
1567,170.905466037346
1568,172.509244871988
1569,174.083544892336
1570,175.609718442944
1571,177.073668225358
1572,178.367508555657
1573,178.857011201883
1574,177.909293268998
1575,176.557739683143
1576,175.128089057026
1577,173.67379815003
1578,172.207635008792
1579,170.760518975004
1580,169.335373722247
1581,167.943674324309
1582,166.602809455043
1583,165.322440332017
1584,164.105149671823
1585,162.958428092931
1586,161.896636765962
1587,160.92191208076
1588,160.039694981516
1589,159.261056859187
1590,158.581199736368
1591,158.007328475552
1592,157.528532335997
1593,157.153422658334
1594,156.85944795797
1595,156.647267883061
1596,156.49212979546
1597,156.393268460665
1598,156.327653635859
1599,156.283234873664
1600,156.25246101546
1601,156.209672946926
1602,156.159306820874
1603,156.086182461732
1604,155.991092710896
1605,155.872727762552
1606,155.73845434922
1607,155.586684399932
1608,155.419899109839
1609,155.248674039087
1610,155.071186686657
1611,154.887944179052
1612,154.69685464809
1613,154.494051731277
1614,154.291775092713
1615,154.072522310683
1616,153.852797950747
1617,153.629092865247
1618,153.413192551806
1619,153.20117633255
1620,152.997555863977
1621,152.796543252233
